CUSTOMER_SK,TOTAL_REVENUE,TOTAL_ITEMS,DISTINCT_ITEMS,TIMES_VISITED,MOST_RECENT_VISIT,AVG_SPENT_PER_VISIT
40168494,1679.77981,414,241,13,3/20/15,129.2138315
39315039,1675.70975,473,238,72,3/25/15,23.27374653
21625045,1672.74968,512,274,13,3/24/15,128.6730523
22985661,1672.70991,476,283,8,3/12/15,209.0887388
22111561,1669.63987,428,298,25,3/22/15,66.7855948
21621604,1668.11987,464,251,16,3/23/15,104.2574919
38886735,1667.03964,433,145,16,3/23/15,104.1899775
22203976,1665.86971,436,200,9,3/20/15,185.0966344
22211014,1661.58974,446,239,32,3/21/15,51.92467938
34330460,1661.21971,602,180,24,3/25/15,69.21748792
21626439,1653.20996,624,304,26,3/24/15,63.58499846
36785707,1647.51979,430,245,15,3/25/15,109.8346527
21620206,1646.09962,477,223,18,3/22/15,91.44997889
21429398,1645.74991,536,277,53,3/25/15,31.05188509
37355389,1645.00973,434,222,86,3/24/15,19.12802012
22211098,1644.71972,469,236,21,3/25/15,78.31998667
33412084,1644.54975,431,280,44,3/25/15,37.37613068
21437972,1643.76973,546,191,17,3/21/15,96.69233706
22523475,1643.59972,430,269,37,3/23/15,44.42161405
20693213,1637.74983,454,246,34,3/25/15,48.16911265
22499227,1631.97961,420,256,22,3/10/15,74.18089136
21606834,1628.54972,476,292,11,3/24/15,148.0499745
26319806,1626.05986,468,313,28,3/20/15,58.07356643
35070888,1625.02981,403,211,23,3/25/15,70.65347
20784544,1624.13948,425,155,33,3/25/15,49.21634788
20716873,1621.03974,410,199,26,3/25/15,62.34768231
40234470,1616.11956,487,230,21,3/25/15,76.95807429
22759944,1616.02982,448,188,69,3/25/15,23.42072203
21061368,1610.57988,526,335,57,3/25/15,28.25578737
20932981,1608.54974,421,188,32,3/21/15,50.26717938
20672412,1602.64942,370,164,15,3/23/15,106.8432947
20771622,1600.04969,455,233,24,3/21/15,66.66873708
20793313,1593.82972,394,208,16,3/23/15,99.6143575
21177599,1592.59985,552,270,56,3/24/15,28.43928304
26128577,1592.16943,438,184,56,3/24/15,28.43159696
