ITEM_ID,TOTAL_REVENUE,VISITS_PURCHASED,DISTINCT_CUSTOMERS,AVG_PRICE
12856683,1284.73984,231,132,4.965439805
11600729,1278.4,257,240,4.539396887
11747325,1274.84991,213,149,5.488857406
11602724,1274.76,380,265,3.299526316
11712706,1271.38995,319,192,3.681797234
11674733,1270.96999,376,303,3.12239361
12787616,1269.45995,208,190,5.950977452
11696721,1269.39997,213,158,5.881377089
13009827,1267.94996,209,157,5.971052536
11668122,1267.71995,647,483,0.819623901
14509227,1266.39,366,278,3.291393443
11750806,1264.63963,173,168,7.165547139
11952131,1263.80984,298,218,4.224194111
11695594,1263.41998,329,232,3.677193495
15077003,1262.47,250,188,4.99
11746252,1256.73999,442,357,2.745452484
11731713,1256.06996,271,189,4.160504253
15164885,1251.66994,139,123,8.78899259
15031051,1251.14954,131,99,9.143635573
14345311,1251.08999,308,247,3.862110381
11662923,1249.99875,125,89,8.527991472
11659754,1243.54996,323,282,2.739127946
11669491,1239.21991,259,202,4.465894315
11638741,1234.86,311,250,3.932122186
11954858,1232.90999,277,212,3.99725631
13789564,1231.69,411,297,2.86080292
14899957,1231.67998,337,211,3.180712151
11629508,1231.42911,146,63,4.77691537
11679025,1227.78,453,261,2.656887417
12204712,1225.08983,196,174,5.250002133
15164983,1224.48999,188,181,5.877712739
11751082,1224.12,327,187,3.686666667
14878470,1221.42994,274,235,3.581611867
14071334,1221.05999,348,296,3.340862062
11741780,1217.64,967,690,1.25524302
11744852,1217.52997,429,331,2.548106696
11624139,1211.60998,326,272,3.521247423
11639535,1211.43,301,254,3.946810631
12795293,1210.47,348,251,3.43683908
11737691,1210.46,353,255,3.41917847
11703590,1209.86996,304,200,3.593958289
11675084,1209.56999,331,225,3.054078542
12788455,1208.7,492,435,2.310121951
11659749,1206.29995,303,194,3.10081953
14249657,1204.27997,292,233,3.616061618
11646126,1203.03999,237,162,4.84587903
13798064,1200.83976,145,112,8.040274448
12788285,1198.29,294,243,3.985578231
13797799,1197.51999,390,258,2.894880335
11635881,1196.26996,240,189,4.572701344
11746374,1196.19972,208,89,5.077883942
11630774,1193.47,248,193,4.715806452
11698101,1190.67911,123,112,9.55836687
14875969,1189.27953,119,107,9.804870189
11746211,1189.13998,258,190,4.08090437
13778464,1189.11999,392,279,2.888494892
14388098,1185.7799,174,146,6.344980575
11701218,1183.69,348,286,3.268189655
11842629,1181.63995,364,240,2.514318393
11642866,1179.85999,376,327,2.921276589
12493826,1179.00989,213,127,4.855617934
14071333,1177.75,336,285,3.373779762
11606412,1177.64,209,169,4.99
14502892,1177.38997,257,218,3.942827461
11746205,1177.27999,491,418,2.200257974
11681161,1176.53,421,348,2.613230404
13043424,1175.39,261,192,4.43743295
11914170,1174.59998,320,272,3.163156234
11697886,1173.63954,150,116,7.599663733
11733243,1170.75982,142,101,7.581642588
11624136,1169.82994,306,250,3.48040844
12516262,1168.51997,219,151,4.567001484
15145963,1166.78907,121,109,8.871535785
11972326,1165.60996,342,211,2.916500943
11659750,1163.07997,311,214,3.102422276
14878485,1162.66998,267,256,3.623426949
13870755,1161.42888,117,109,9.798537564
14382972,1161.40938,140,108,7.450769929
12719231,1160.55999,145,126,7.969379276
14405312,1160.14,228,179,4.915438596
11655637,1157.07,288,219,3.948333333
14117276,1157.04998,310,234,3.304580629
11740766,1157.02999,462,298,2.47560605
11733397,1155.91989,187,151,4.962067513
14115938,1155.52997,173,149,6.540462341
11741359,1155.12997,190,186,6.000684132
11633642,1154.85993,218,177,5.069831651
11640975,1153.20962,179,102,6.386645978
11746306,1150.91,247,145,4.447489879
14993547,1149.99997,297,224,2.499999975
14101793,1148.39997,163,100,6.953374141
11620244,1145.85995,206,157,5.077621286
12156017,1144.18903,116,102,9.590710302
11684344,1143.94996,159,111,7.058385629
11735355,1143.34999,254,224,4.263661407
11619276,1143.13,276,200,3.982753623
14199102,1142.16993,189,144,5.818412526
11738371,1141.78933,135,121,6.582416444
11750878,1140,198,190,5.707171717
11697144,1139.83902,114,94,9.896248816
11823785,1137.72,218,178,4.703876147
14198077,1137.54996,225,207,4.688251789
12822423,1137.05,336,269,3.221011905
14341397,1136.74,243,213,4.503230453
11695806,1136.45994,160,100,6.915374813
14065749,1134.35999,367,196,2.743024516
11699074,1133.20991,268,220,3.268538466
11749882,1132.78997,208,167,4.966105721
13903414,1132.46997,228,223,4.405336206
11619162,1131.30985,144,111,7.323911528
11914479,1128.66996,287,233,3.12450635
12788253,1121.32,292,228,3.561917808
15145970,1121.15897,115,102,9.48833913
11737695,1120.28,319,208,3.425893417
11684197,1119.99988,171,145,6.113566901
11697159,1119.879,112,68,9.530170112
11696638,1119.57966,176,68,5.385870256
11670852,1116.76982,355,308,1.276828925
12482284,1116.51986,159,113,6.833458428
11740898,1115.28,463,338,2.394535637
14561037,1115.07995,318,250,3.47048728
11745187,1115.05995,199,152,5.477688317
12888333,1114.90994,257,159,4.039779446
14511014,1113.04982,163,142,6.237525049
11721025,1112.64993,159,148,6.767190566
12187229,1111.15998,264,201,3.916350985
11667876,1107.32905,112,106,9.886866518
11607519,1106.34999,232,182,4.526997112
11738294,1105.77,123,105,8.99
11670855,1104.12976,204,169,2.841176176
11699716,1103.68,226,173,4.762123894
11639439,1103.21999,276,237,3.929649746
13881108,1100.1,263,200,4.073269962
13870750,1099.98991,217,199,4.130495204
11732181,1099.21,264,144,3.83
11668184,1097.30997,220,171,4.704227205
12857904,1096.76998,175,132,6.200590429
14273893,1096.49995,193,158,5.22860092
15016564,1095.12998,186,150,5.753548333
11688229,1094.71,297,202,3.336801347
11679791,1094.30999,234,190,4.266559818
11599256,1093.30998,221,174,4.522790317
11654240,1092.03984,112,64,9.006308839
11623972,1091.28992,325,232,2.575928148
11664523,1090.81904,114,105,9.322974281
11602750,1090.67995,233,152,4.681029828
11823786,1087.82,207,153,4.668582931
11751043,1087.44999,639,258,1.652357848
15066034,1085.61998,213,186,4.887433451
15080720,1085.12997,184,162,5.538061522
12139270,1084.23998,289,246,3.273806211
14363228,1082.46999,301,186,3.099656689
12148130,1081.13,348,294,2.773017241
11677605,1080.10949,130,112,7.470984019
11738330,1077.6,239,175,4.49
11744126,1075.78,233,189,4.462575107
11643403,1073.11999,376,350,2.639973398
11954857,1070.39998,248,201,4.037795675
11697152,1069.93899,107,79,9.859243037
11738361,1069.50964,144,125,6.772220313
11699189,1068.57998,352,276,2.60548294
11669497,1065.62998,287,237,3.172984878
12833771,1060.51996,219,163,4.107762517
11743943,1051.69994,217,180,4.424992203
12191531,1050.99988,262,168,3.923930889
12787808,1050.19999,198,137,4.957727247
11602869,1049.99895,105,101,9.809514
11699190,1046.01,358,276,2.600167598
14565146,1045.59928,112,107,8.219637545
12742755,1044.79998,344,257,2.774941846
11733929,1042.93985,121,85,7.95818124
13902669,1042.42995,162,156,6.264999861
12793308,1041.39,237,205,3.99
11741762,1040.85999,377,271,2.487816088
11666585,1040.68997,198,167,4.737432614
14964171,1039.99994,106,74,9.528301604
11621670,1039.06999,299,266,3.185462642
12819977,1038.73999,249,159,3.708915653
12635913,1038.14,1839,1420,0.561035889
12734559,1038.10963,182,153,5.464750879
11659117,1037.61972,166,69,5.387268253
12705027,1037.23994,204,173,4.37019598
11636454,1037.18,230,163,4.470434783
12184448,1036.66979,144,99,6.435207639
11738373,1033.99932,116,102,7.715584375
11618796,1033.10997,237,178,4.204613165
12787020,1032.96984,159,110,5.98303934
11698155,1032.88956,141,119,5.610183124
11951732,1032.28,122,97,8.461311475
11658144,1030.45,292,230,3.323869863
11639532,1028.88,256,227,3.925546875
14197620,1028.54989,156,145,6.173397151
15145967,1028.17904,105,89,9.363610333
12572037,1027.69999,214,171,4.61777257
11624657,1027.09,262,145,3.79
11602745,1025.98995,267,153,3.146616676
15146223,1023.64916,107,94,9.180179416
11839867,1023.36999,301,237,3.23754152
11685514,1022.80998,532,432,1.111842101
11743040,1021.4,199,152,4.874422111
11729532,1021.18994,278,192,2.935731371
11697156,1019.84913,102,66,9.728913309
14198897,1019.10988,151,137,6.351721457
11668136,1017.92998,639,517,0.786353676
14085502,1017.08997,181,157,5.372762376
11951698,1016.78,370,305,2.665135135
11666103,1016.23999,176,170,5.717329517
11687939,1015.93996,170,123,5.858470471
11745487,1014.32996,250,180,3.63135996
15082119,1014.29998,261,229,3.68803318
11781795,1011.98991,150,60,6.41882195
13789460,1011.96998,105,95,9.542571333
11739408,1011.76999,217,142,4.512319493
11743317,1010.54,240,191,4.179
14513086,1007.74,285,216,3.277192982
13894805,1007.53997,149,128,6.661342181
13870744,1005.8293,105,97,9.317422167
14106215,1004.55993,151,121,6.409889404
14502890,1003.89997,237,213,3.796202489
12159328,1003.00993,233,187,2.320057172
11741918,1002.86,208,184,4.684711538
15164984,1002.0099,157,151,6.031910541
11675334,999.999,100,93,9.84999015
14230610,999.74,412,350,2.066407767
11659748,999.22997,264,216,2.874008809
13035032,998.98,100,84,9.9898
14555763,998.81999,301,254,3.108527126
11661100,998.10997,142,119,6.923309754
14492863,998.00996,306,247,2.723986895
14340236,996.69975,117,93,7.860895919
15016571,996.32995,170,152,5.654999853
13902590,993.45994,156,130,6.165341699
14300410,993.39,314,148,2.590366242
12751400,993.28,259,190,3.717837838
11615002,992.4,671,544,1.416378539
14543018,991.21996,173,144,5.35631974
11619282,990.02998,262,177,3.502926183
11697161,989.83917,99,73,9.543830455
13904245,988.44,401,200,2.448703242
12787839,987.23,257,189,3.708677043
14410882,986.46993,160,100,5.936270625
11671925,983.2591,100,82,9.207591625
12165849,981.41996,274,238,2.512287071
11742286,979.49999,224,155,4.287336295
11731766,978.99,298,246,3.08385906
12518487,978.74996,232,224,3.98025847
12252854,978.64998,226,147,3.808598794
11742606,977.96973,166,124,5.79098241
11708570,977.79995,335,255,2.455885544
11692145,976.87991,167,149,5.484550629
12906967,976.51977,139,101,6.179999191
11742920,975.94998,177,128,5.236525367
11652266,972.97,237,202,3.84443038
11670364,970.97984,118,59,7.522428729
11751556,970.52991,156,135,5.922200577
11695992,970.49996,391,351,1.604083535
11599899,969.99,617,487,1.49
11635289,968.88993,255,245,2.456603859
11738327,967.38998,211,170,4.457596469
11624135,967.25998,265,234,3.456742113
11711358,965.24994,221,179,3.283634925
11688840,962.58,122,104,7.89
11742236,960.41,544,353,1.762454044
11873427,959.99904,96,91,9.895823438
11685458,959.67984,138,87,6.362414891
15082470,959.39,253,211,3.681699605
11753870,958.61999,396,306,1.978739476
11698574,955.95992,162,134,5.654073827
15143998,954.75996,180,156,5.159916569
12889496,953.9,318,234,2.590880503
11842626,953.84991,272,219,2.527519188
12845246,953.06994,168,136,4.507499899
12734557,952.8998,189,133,4.941004286
13039552,952.31,314,260,2.98522293
14065552,950.6793,98,87,9.347493163
11699156,949.77925,101,80,8.543359678
11671265,949.04982,113,103,7.474735951
11602709,948.99994,188,141,5.047872021
12785613,947.98989,225,172,3.063504644
14941604,946.38999,278,225,3.048345315
11743286,942.26998,125,100,7.45815992
12787878,941.37,234,162,3.714786325
14000440,940.62988,149,112,5.899082383
11748194,940.47997,155,147,5.960085935
12788658,939.14998,232,207,3.897413772
11669494,937.38998,251,206,3.264116843
11658016,937.24997,169,142,5.16670605
11699918,936.64999,210,164,4.298619038
11676167,935.14993,166,111,5.041064066
13043422,934.95999,194,117,4.674398608
11815094,933.98998,264,185,3.140075741
12932827,933.48986,148,125,5.707409459
11745697,933.16998,171,67,4.965750453
14565142,932.96992,219,137,3.636027283
11743304,932.09,354,258,2.618954802
13998381,931.93998,108,81,8.521049306
11620882,931.61999,357,250,2.063576092
12847369,930.41997,386,307,1.604702678
11753853,929.88995,334,200,1.88414669
14369087,929.64985,116,97,7.323648793
15162405,929.43963,93,90,9.725157581
11746207,928.99,388,319,2.209639175
11636956,925.74997,138,67,6.599637572
12193406,925,100,87,9.25
11740365,924.20999,476,403,1.931418046
14538273,921.35993,183,155,3.951220287
11658787,920.82995,164,125,5.208800671
11702704,920.76996,217,207,3.604139724
11599734,916.60998,222,197,3.377927905
11645275,915.84981,114,93,7.200437763
12788377,915.19994,136,126,6.47205864
11746307,914.26,352,256,2.582613636
11604872,914.07,364,293,2.449615385
11842484,913.32997,200,131,4.050316625
11694152,909.29,491,397,1.037800407
14856710,908.86996,157,133,5.329171895
11692493,908.27983,336,155,1.273260539
14476452,906.90996,208,151,3.858381358
14101795,906.88998,113,79,7.937079558
11746308,906.87994,166,102,5.229517892
13017166,906.65927,92,86,9.148471033
14230616,905.98998,285,208,2.651298228
11666765,905.13997,210,191,4.043952333
11746298,903.75999,361,212,2.279224371
12810584,902.44996,200,173,4.1794166
14383199,899.18,400,339,2.226125
11666111,898.94994,111,106,7.963513108
11600616,898.2,176,169,4.011846591
11672511,896.76,281,245,3.130498221
12932341,895.83929,92,73,9.628688043
12787781,895.17976,106,102,8.162073491
11752719,894.97994,304,167,1.983330574
11635063,894.89998,112,83,7.900892768
11706967,894.8899,121,104,6.927465207
11738540,893.53999,284,198,2.982992949
11618388,890.81999,174,147,4.95902296
11666822,890.76997,202,175,3.911765631
11714016,889.99911,89,88,9.868903989
13008898,888.28986,188,132,4.70696734
11727689,886.39,288,240,2.758611111
11692505,885.81993,449,216,1.278337347
