CUSTOMER_SK,TOTAL_REVENUE,TOTAL_ITEMS,DISTINCT_ITEMS,TIMES_VISITED,MOST_RECENT_VISIT,AVG_SPENT_PER_VISIT
21618861,1494.69983,388,245,53,3/25/15,28.20188358
23792601,1494.15968,363,196,28,3/25/15,53.36284571
22338853,1492.61984,389,211,32,3/25/15,46.64437
21583675,1490.8896,323,168,24,3/24/15,62.1204
22983190,1488.15987,489,294,69,3/25/15,21.56753435
22983294,1486.73966,420,268,29,3/23/15,51.26688483
21629636,1484.59976,586,208,26,3/24/15,57.09999077
20735370,1483.92974,417,234,17,3/22/15,87.28998471
39355315,1482.93963,401,230,12,3/7/15,123.5783025
51944848,1480.49993,454,214,76,3/25/15,19.48026224
41512611,1476.77979,389,257,12,3/24/15,123.0649825
21583190,1475.9698,501,197,23,3/25/15,64.1726
51831057,1475.68971,351,218,25,3/25/15,59.0275884
20716182,1474.12976,469,179,16,3/21/15,92.13311
37616596,1471.69977,478,256,40,3/25/15,36.79249425
30181677,1471.31994,417,247,18,3/24/15,81.73999667
36329278,1469.18992,397,225,22,3/25/15,66.78136
22208019,1468.94974,362,130,6,3/13/15,244.8249567
42487407,1466.21996,400,186,22,3/21/15,66.64636182
22300436,1463.54984,517,199,47,3/24/15,31.1393583
22301160,1462.31979,395,83,38,3/25/15,38.48209974
22240843,1462.09958,507,160,15,3/25/15,97.47330533
23129837,1462.07962,398,189,37,3/25/15,39.51566541
22752150,1456.53978,419,266,26,3/25/15,56.02076077
21599184,1456.16982,373,174,27,3/25/15,53.93221556
34397581,1454.28985,375,208,15,3/22/15,96.95265667
23694848,1452.04972,355,245,35,3/25/15,41.48713486
40120720,1448.3098,395,262,20,3/22/15,72.41549
22207971,1445.49982,512,221,37,3/21/15,39.0675627
33220016,1444.69994,504,274,22,3/24/15,65.66817909
51277800,1443.99982,490,200,29,3/21/15,49.79309724
23815170,1442.24982,453,200,27,3/23/15,53.41666
38986641,1442.20984,406,264,36,3/17/15,40.06138444
36512827,1441.74974,348,210,21,3/23/15,68.65474952
38861391,1438.2599,404,224,42,3/24/15,34.24428333
39658142,1436.8099,389,161,21,3/21/15,68.41951905
51302499,1436.29984,454,198,24,3/25/15,59.84582667
39734475,1435.88995,449,249,13,3/20/15,110.4530731
23732089,1435.3099,472,243,12,3/21/15,119.6091583
22153202,1429.02984,452,249,68,3/24/15,21.01514471
39814550,1428.19979,428,240,20,3/24/15,71.4099895
22338866,1426.08987,395,225,28,3/22/15,50.93178107
39550654,1425.52967,411,187,93,3/25/15,15.32827602
22243383,1421.23983,370,194,9,3/14/15,157.9155367
39305053,1420.3297,329,220,54,3/23/15,26.30240185
21577206,1420.11988,456,246,40,3/24/15,35.502997
22249819,1418.68984,433,155,52,3/25/15,27.28249692
26323180,1415.45976,411,167,12,3/22/15,117.95498
40174232,1415.26968,353,134,38,3/24/15,37.24393895
22211112,1409.46993,572,187,53,3/25/15,26.59377226
38976625,1407.10986,454,224,28,3/22/15,50.25392357
23613519,1406.09963,444,178,13,3/22/15,108.16151
31746402,1404.88977,364,236,9,3/19/15,156.0988633
21692535,1402.72975,393,178,20,3/21/15,70.1364875
23442808,1401.40968,395,202,36,3/24/15,38.92804667
34364459,1397.27974,323,154,17,3/23/15,82.19292588
23480761,1396.10989,453,230,51,3/25/15,27.37470373
20875490,1393.28982,407,146,17,3/21/15,81.95822471
20908906,1392.18987,389,196,45,3/16/15,30.93755267
